Region,Salary,Year
ACEH,1280000,1997
SUMATERA UTARA,1510000,1997
SUMATERA BARAT,1190000,1997
RIAU,1515000,1997
JAMBI,1195000,1997
SUMATERA SELATAN,1275000,1997
BENGKULU,1275000,1997
LAMPUNG,1260000,1997
KEP. RIAU,2350000,1997
DKI JAKARTA,1725000,1997
JAWA BARAT,1725000,1997
JAWA TENGAH,1130000,1997
DI YOGYAKARTA,1065000,1997
JAWA TIMUR,1325000,1997
BALI,1415000,1997
NUSA TENGGARA BARAT,1080000,1997
NUSA TENGGARA TIMUR,1060000,1997
KALIMANTAN BARAT,1265000,1997
KALIMANTAN TENGAH,1380000,1997
KALIMANTAN SELATAN,1250000,1997
KALIMANTAN TIMUR,1530000,1997
SULAWESI UTARA,1180000,1997
SULAWESI TENGAH,1065000,1997
SULAWESI SELATAN,1125000,1997
SULAWESI TENGGARA,1210000,1997
MALUKU,1360000,1997
PAPUA,1700000,1997
INDONESIA,1350000,1997
ACEH,1470000,1998
SUMATERA UTARA,1740000,1998
SUMATERA BARAT,1370000,1998
RIAU,1740000,1998
JAMBI,1375000,1998
SUMATERA SELATAN,1465000,1998
BENGKULU,1465000,1998
LAMPUNG,1450000,1998
KEP. BANGKA BELITUNG,1465000,1998
KEP. RIAU,1740000,1998
DKI JAKARTA,1985000,1998
JAWA BARAT,1768000,1998
JAWA TENGAH,1300000,1998
DI YOGYAKARTA,1225000,1998
JAWA TIMUR,1430000,1998
BANTEN,1768000,1998
BALI,1625000,1998
NUSA TENGGARA BARAT,1240000,1998
NUSA TENGGARA TIMUR,1225000,1998
KALIMANTAN BARAT,1455000,1998
KALIMANTAN TENGAH,1585000,1998
KALIMANTAN SELATAN,1440000,1998
KALIMANTAN TIMUR,1760000,1998
SULAWESI UTARA,1355000,1998
SULAWESI TENGAH,1225000,1998
SULAWESI SELATAN,1295000,1998
SULAWESI TENGGARA,1390000,1998
GORONTALO,1355000,1998
MALUKU,1565000,1998
MALUKU UTARA,1565000,1998
PAPUA,1955000,1998
INDONESIA,1509000,1998
ACEH,1710000,1999
SUMATERA UTARA,2100000,1999
SUMATERA BARAT,1600000,1999
RIAU,2180000,1999
JAMBI,1500000,1999
SUMATERA SELATAN,1700000,1999
BENGKULU,1500000,1999
LAMPUNG,1600000,1999
KEP. BANGKA BELITUNG,1700000,1999
KEP. RIAU,2180000,1999
DKI JAKARTA,2310000,1999
JAWA BARAT,2088000,1999
JAWA TENGAH,1530000,1999
DI YOGYAKARTA,1300000,1999
JAWA TIMUR,1705000,1999
BANTEN,2088000,1999
BALI,1870000,1999
NUSA TENGGARA BARAT,1450000,1999
NUSA TENGGARA TIMUR,1430000,1999
KALIMANTAN BARAT,1750000,1999
KALIMANTAN TENGAH,1950000,1999
KALIMANTAN SELATAN,1660000,1999
KALIMANTAN TIMUR,1940000,1999
SULAWESI UTARA,1550000,1999
SULAWESI TENGAH,1500000,1999
SULAWESI SELATAN,1480000,1999
SULAWESI TENGGARA,1600000,1999
GORONTALO,1550000,1999
MALUKU,1800000,1999
MALUKU UTARA,1800000,1999
PAPUA,2250000,1999
INDONESIA,1754000,1999
ACEH,2650000,2000
SUMATERA UTARA,2540000,2000
SUMATERA BARAT,2000000,2000
RIAU,2507000,2000
JAMBI,1730000,2000
SUMATERA SELATAN,1900000,2000
BENGKULU,1730000,2000
LAMPUNG,1920000,2000
KEP. BANGKA BELITUNG,1900000,2000
KEP. RIAU,3000000,2000
DKI JAKARTA,2860000,2000
JAWA BARAT,2300000,2000
JAWA TENGAH,1850000,2000
DI YOGYAKARTA,1945000,2000
JAWA TIMUR,2145000,2000
BANTEN,2300000,2000
BALI,2140000,2000
NUSA TENGGARA BARAT,1800000,2000
NUSA TENGGARA TIMUR,1840000,2000
KALIMANTAN BARAT,2280000,2000
KALIMANTAN TENGAH,2850000,2000
KALIMANTAN SELATAN,2000000,2000
KALIMANTAN TIMUR,2330000,2000
SULAWESI UTARA,1860000,2000
SULAWESI TENGAH,2030000,2000
SULAWESI SELATAN,2000000,2000
SULAWESI TENGGARA,2100000,2000
GORONTALO,1860000,2000
MALUKU,1800000,2000
MALUKU UTARA,1800000,2000
PAPUA,3150000,2000
INDONESIA,2165000,2000
ACEH,3000000,2001
SUMATERA UTARA,3405000,2001
SUMATERA BARAT,2500000,2001
RIAU,3290000,2001
JAMBI,2450000,2001
SUMATERA SELATAN,2550000,2001
BENGKULU,2400000,2001
LAMPUNG,2400000,2001
KEP. BANGKA BELITUNG,2550000,2001
KEP. RIAU,4215000,2001
DKI JAKARTA,4263000,2001
JAWA BARAT,2450000,2001
JAWA TENGAH,2450000,2001
DI YOGYAKARTA,2375000,2001
JAWA TIMUR,2200000,2001
BANTEN,2450000,2001
BALI,3098000,2001
NUSA TENGGARA BARAT,2400000,2001
NUSA TENGGARA TIMUR,2750000,2001
KALIMANTAN BARAT,3045000,2001
KALIMANTAN TENGAH,3620000,2001
KALIMANTAN SELATAN,2950000,2001
KALIMANTAN TIMUR,3000000,2001
SULAWESI UTARA,3720000,2001
SULAWESI TENGAH,2450000,2001
SULAWESI SELATAN,3000000,2001
SULAWESI TENGGARA,2750000,2001
GORONTALO,3720000,2001
MALUKU,2300000,2001
MALUKU UTARA,2300000,2001
PAPUA,4000000,2001
INDONESIA,2905000,2001
ACEH,3300000,2002
SUMATERA UTARA,4640000,2002
SUMATERA BARAT,3850000,2002
RIAU,3940000,2002
JAMBI,3040000,2002
SUMATERA SELATAN,3315000,2002
BENGKULU,2950000,2002
LAMPUNG,3100000,2002
KEP. BANGKA BELITUNG,3450000,2002
KEP. RIAU,4215000,2002
